STATE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,15th,16th,17th,20th,21st,17th,20th,19th,21st,21st,20th,21st,23rd,25th,23rd
Alaska,37th,38th,22nd,29th,29th,21st,18th,14th,25th,30th,34th,30th,26th,18th,21st
Arizona,6th,3rd,3rd,12th,9th,6th,7th,5th,5th,8th,5th,11th,10th,13th,3rd
Arkansas,11th,12th,13th,13th,11th,24th,26th,22nd,20th,23rd,22nd,23rd,22nd,23rd,16th
California,42nd,43rd,46th,47th,38th,47th,47th,44th,46th,47th,47th,47th,46th,45th,48th
Colorado,9th,2nd,2nd,6th,8th,16th,22nd,21st,16th,15th,15th,18th,18th,20th,22nd
Connecticut,40th,32nd,36th,35th,44th,43rd,44th,47th,47th,46th,40th,40th,40th,39th,35th
Delaware,31st,31st,37th,34th,34th,30th,27th,38th,44th,37th,36th,36th,24th,31st,30th
Florida,16th,11th,5th,10th,13th,9th,16th,15th,8th,6th,6th,9th,7th,2nd,8th
Georgia,8th,8th,9th,11th,10th,8th,9th,7th,19th,17th,11th,20th,21st,14th,15th
Hawaii,41st,41st,39th,46th,46th,40th,36th,37th,42nd,43rd,45th,45th,44th,42nd,43rd
Idaho,10th,14th,7th,5th,6th,7th,5th,6th,15th,10th,2nd,2nd,3rd,11th,5th
Illinois,43rd,44th,47th,44th,48th,48th,48th,40th,43rd,44th,48th,48th,47th,47th,45th
Indiana,12th,17th,20th,16th,24th,14th,3rd,3rd,6th,2nd,3rd,3rd,4th,6th,7th
Iowa,23rd,35th,28th,23rd,22nd,25th,25th,25th,29th,29th,29th,25th,27th,33rd,32nd
Kansas,29th,24th,25th,27th,26th,11th,15th,18th,27th,26th,26th,26th,25th,26th,28th
Kentucky,44th,36th,40th,40th,39th,38th,39th,30th,33rd,33rd,31st,33rd,31st,29th,34th
Louisiana,24th,18th,16th,15th,19th,28th,29th,26th,28th,28th,27th,27th,30th,22nd,20th
Maine,46th,47th,44th,48th,47th,41st,40th,42nd,38th,42nd,42nd,42nd,41st,43rd,44th
Maryland,28th,28th,29th,21st,20th,35th,34th,33rd,31st,34th,32nd,35th,37th,40th,42nd
Massachusetts,22nd,26th,32nd,24th,25th,29th,28th,28th,26th,25th,25th,28th,35th,30th,33rd
Michigan,17th,34th,26th,25th,17th,20th,12th,24th,22nd,20th,18th,12th,14th,16th,17th
Minnesota,39th,40th,38th,37th,41st,46th,46th,48th,45th,45th,44th,41st,45th,46th,46th
Mississippi,19th,19th,18th,19th,15th,10th,14th,20th,17th,22nd,24th,19th,20th,27th,27th
Missouri,25th,23rd,15th,9th,7th,23rd,24th,27th,24th,24th,23rd,22nd,19th,21st,29th
Montana,32nd,30th,33rd,36th,36th,42nd,43rd,43rd,40th,39th,43rd,39th,33rd,34th,31st
Nebraska,34th,29th,34th,32nd,31st,37th,35th,31st,32nd,32nd,28th,34th,36th,35th,36th
Nevada,7th,7th,11th,17th,18th,13th,8th,10th,14th,13th,13th,5th,6th,7th,6th
New Hampshire,26th,37th,30th,28th,28th,27th,32nd,29th,23rd,18th,17th,16th,17th,19th,18th
New Jersey,48th,46th,48th,45th,42nd,39th,45th,46th,48th,48th,46th,46th,48th,48th,49th
New Mexico,27th,25th,35th,39th,35th,33rd,37th,34th,34th,35th,35th,29th,34th,38th,38th
New York,49th,50th,50th,50th,50th,49th,50th,50th,50th,50th,50th,50th,50th,50th,50th
North Carolina,21st,21st,21st,26th,23rd,22nd,6th,4th,2nd,3rd,7th,6th,5th,5th,2nd
North Dakota,18th,13th,12th,7th,5th,2nd,4th,2nd,3rd,4th,4th,4th,11th,8th,9th
Ohio,47th,45th,42nd,38th,37th,26th,23rd,23rd,18th,19th,21st,24th,29th,28th,19th
Oklahoma,14th,15th,14th,14th,14th,19th,21st,16th,10th,16th,16th,13th,9th,3rd,4th
Oregon,35th,39th,41st,43rd,45th,44th,42nd,45th,41st,41st,41st,44th,42nd,44th,41st
Pennsylvania,36th,42nd,43rd,41st,40th,34th,33rd,41st,39th,38th,38th,38th,38th,36th,37th
Rhode Island,45th,48th,45th,42nd,43rd,45th,41st,39th,35th,36th,39th,43rd,43rd,41st,40th
South Carolina,20th,20th,31st,22nd,27th,31st,31st,32nd,30th,27th,33rd,32nd,32nd,24th,26th
South Dakota,2nd,5th,4th,2nd,2nd,3rd,2nd,9th,11th,12th,9th,7th,13th,10th,12th
Tennessee,3rd,9th,10th,8th,12th,18th,19th,17th,7th,5th,12th,8th,8th,12th,13th
Texas,13th,10th,19th,18th,16th,12th,13th,11th,12th,9th,14th,15th,15th,9th,11th
Utah,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st
Vermont,50th,49th,49th,49th,49th,50th,49th,49th,49th,49th,49th,49th,49th,49th,47th
Virginia,5th,4th,8th,3rd,3rd,5th,11th,12th,13th,11th,10th,14th,16th,17th,24th
Washington,30th,22nd,24th,33rd,33rd,36th,38th,35th,36th,40th,37th,37th,39th,37th,39th
West Virginia,38th,33rd,27th,31st,30th,32nd,30th,36th,37th,31st,30th,31st,28th,32nd,25th
Wisconsin,33rd,27th,23rd,30th,32nd,15th,17th,13th,9th,14th,19th,17th,12th,15th,14th
Wyoming,4th,6th,6th,4th,4th,4th,10th,8th,4th,7th,8th,10th,2nd,4th,10th
