Name,Type,State,"Profit /
Net Outstanding",Disbursed,Returned,"Dividends +
Interest",Warrants,Other Proceeds
1st Constitution Bancorp,Bank (Public),NJ,"$1,433,242","$12,000,000","$12,000,000","$1,106,666","$326,576",$0
1st Enterprise Bank,Bank (Private),CA,"$1,348,156","$10,400,000","$10,400,000","$1,128,156","$220,000",$0
1st Financial Services Corp,Bank (Public),NC,"-$7,139,052","$16,369,000","$8,000,000","$1,229,948",$0,$0
1st Source Corp,Bank (Public),IN,"$14,479,999","$111,000,000","$111,000,000","$10,729,999","$3,750,000",$0
1st United Bancorp,Bank (Private),FL,"$870,902","$10,000,000","$10,000,000","$370,902","$500,000",$0
21st Mortgage Corporation,Mortgage Servicer,TN,"-$12,352,221","$12,352,221",$0,$0,$0,$0
AB&T Financial Corp,Bank (Public),NC,"-$2,173,585","$3,500,000","$965,721","$360,694",$0,$0
Adbanc,Bank (Private),NE,"$2,351,769","$12,720,000","$12,720,000","$1,715,769","$636,000",$0
Addition Financial Credit Union,Mortgage Servicer,FL,"-$1,486,089","$1,486,089",$0,$0,$0,$0
"AG GECC PPIF Master Fund, L.P.",Investment Fund,DE,"$926,527,713","$3,352,197,510","$3,352,197,510","$346,205,051",$0,"$580,322,661"
AIG,Insurance Company,NY,"$5,025,967,492","$67,835,000,000","$67,835,000,000",$0,"$25,156,690","$5,000,810,802"
Alabama Housing Finance Authority,State Housing Orgs,AL,"-$110,000,000","$110,000,000",$0,$0,$0,$0
Alarion Financial Services,Bank (Private),FL,"$1,160,003","$6,514,000","$6,338,584","$998,056","$337,363",$0
Alaska Pacific Bankshares,Bank (Public),AK,"$2,720,884","$4,781,000","$4,217,568","$913,408","$2,370,908",$0
"Allegiance Bancshares, Inc.",Bank (Private),TX,"$4,971,339","$11,000,000","$11,000,000","$4,421,339","$550,000",$0
Alliance Bancshares,Bank (Private),GA,"$595,401","$2,986,000","$2,831,437","$611,064","$138,900",$0
"AllianceBernstein Legacy Securities Master Fund, L.P.",Investment Fund,DE,"$562,685,420","$3,192,141,738","$3,192,141,738","$263,435,051",$0,"$299,250,368"
Alliance Financial Corp,Bank (Public),NY,"$1,438,360","$26,918,000","$26,918,000","$538,360","$900,000",$0
Alliance Financial Services,Bank (Private),MN,"-$2,193,864","$12,000,000","$8,912,495","$388,741","$504,900",$0
Allied First Bancorp,Bank (Private),IL,"-$2,198,246","$3,652,000","$1,044,000","$409,754",$0,$0
"Allstate Mortgage Loans & Investments, Inc",Mortgage Servicer,FL,"-$39,093","$39,093",$0,$0,$0,$0
Ally Bank,Mortgage Servicer,UT,"-$3,453,423","$3,453,423",$0,$0,$0,$0
Alpine Banks of Colorado,Bank (Private),CO,"$3,129,161","$70,000,000","$56,430,297","$13,407,114","$3,291,750",$0
Alternatives Federal Credit Union,Bank (Community Development),NY,"$100,903","$2,234,000","$2,055,280","$279,623",$0,$0
Amarillo National Bank,Mortgage Servicer,TX,$0,$0,$0,$0,$0,$0
AMB Financial Corp,Bank (Private),IN,"$713,576","$3,674,000","$3,674,000","$529,576","$184,000",$0
Ameriana Bank,Mortgage Servicer,IN,"-$16,749","$16,749",$0,$0,$0,$0
AmeriBank Holding Company,Bank (Private),OK,"$468,023","$2,492,000","$2,492,000","$343,023","$125,000",$0
"American Bancorp of Illinois, Inc.",Bank (Community Development),IL,"$1,092,073","$5,457,000","$5,457,000","$1,092,073",$0,$0
American Express,Financial Services Company,NY,"$414,367,308","$3,388,890,000","$3,388,890,000","$74,367,308","$340,000,000",$0
American Financial Resources Inc.,Mortgage Servicer,NJ,$0,$0,$0,$0,$0,$0
American Premier Bancorp,Bank (Private),CA,"$252,682","$1,800,000","$1,800,000","$162,682","$90,000",$0
American State Bancshares,Bank (Private),KS,"$1,220,142","$6,000,000","$6,000,000","$920,142","$300,000",$0
Ameris Bancorp,Bank (Public),GA,"$7,637,438","$52,000,000","$47,665,332","$9,302,106","$2,670,000",$0
AmeriServ Financial,Bank (Public),PA,"$3,601,666","$21,000,000","$21,000,000","$2,776,666","$825,000",$0
"AmFirst Financial Services, Inc.",Bank (Private),NE,"$1,523,255","$5,000,000","$4,752,000","$1,511,380","$259,875",$0
"AmTrust Bank, A Division of New York Community Bank",Mortgage Servicer,OH,"-$285,113","$285,113",$0,$0,$0,$0
Anchor BanCorp Wisconsin,Bank (Public),WI,"-$104,000,000","$110,000,000","$6,000,000",$0,$0,$0
Annapolis Bancorp,Bank (Public),MD,"$5,342,247","$8,152,000","$8,152,000","$1,491,136","$3,851,111",$0
Apex Bank,Mortgage Servicer,TN,"-$792,510","$792,510",$0,$0,$0,$0
Arizona (Home) Foreclosure Prevention Funding Corporation,State Housing Orgs,AZ,"-$296,146,720","$296,146,720",$0,$0,$0,$0
Associated Banc-Corp,Bank (Public),WI,"$71,539,173","$525,000,000","$525,000,000","$68,104,167","$3,435,006",$0
"Atlantic Bancshares, Inc.",Bank (Private),SC,"$528,554","$2,000,000","$2,000,000","$122,724","$105,830","$300,000"
Atlantic City Federal Credit Union,Bank (Community Development),WY,"$100,277","$2,500,000","$2,500,000","$100,277",$0,$0
"Aurora Financial Group, Inc",Mortgage Servicer,NJ,"-$52,533","$52,533",$0,$0,$0,$0
"Aurora Loan Services, LLC",Mortgage Servicer,CO,"-$85,863,518","$85,863,518",$0,$0,$0,$0
Avenue Financial Holdings,Bank (Private),TN,"$1,398,415","$7,400,000","$7,400,000","$1,028,415","$370,000",$0
Axiom Bank,Mortgage Servicer,FL,"-$24,174","$24,174",$0,$0,$0,$0
"Bainbridge Bancshares, Inc.",Bank (Community Development),GA,"$273,637","$3,372,000","$3,372,000","$273,637",$0,$0
BancIndependent,Bank (Private),AL,"$3,741,412","$21,100,000","$21,100,000","$2,686,412","$1,055,000",$0
Banco Popular de Puerto Rico,Mortgage Servicer,PR,"-$10,325,874","$10,325,874",$0,$0,$0,$0
"Bancorp Financial, Inc.",Bank (Private),IL,"$1,926,738","$13,669,000","$13,669,000","$1,516,738","$410,000",$0
"Bancorp of Okolona, Inc.",Bank (Community Development),MS,"$250,976","$3,297,000","$3,297,000","$250,976",$0,$0
Bancorp Rhode Island,Bank (Public),RI,"$2,341,666","$30,000,000","$30,000,000","$941,666","$1,400,000",$0
BancPlus Corporation,Bank (Private),MS,"$10,738,508","$80,914,000","$75,250,020","$14,002,488","$2,400,000",$0
"BancStar, Inc.",Bank (Private),MO,"$2,101,460","$8,600,000","$8,366,452","$1,908,669","$426,339",$0
BancTrust Financial Group,Bank (Public),AL,"$10,451,155","$50,000,000","$50,000,000","$10,436,155","$15,000",$0
Bangor Savings Bank,Mortgage Servicer,ME,$0,$0,$0,$0,$0,$0
BankAsiana,Bank (Community Development),NJ,"$315,584","$5,250,000","$5,250,000","$315,584",$0,$0
Bankers' Bank of the West,Bank (Private),CO,"$4,458,994","$12,639,000","$12,639,000","$3,826,994","$632,000",$0
"Bank Financial Services, Inc.",Bank (Private),MN,"$110,680","$1,004,000","$907,937","$183,243","$23,500",$0
BankFirst Capital Corp,Bank (Private),MS,"$2,992,470","$15,500,000","$15,500,000","$2,217,470","$775,000",$0
BankGreenville,Bank (Private),SC,"$153,905","$1,000,000","$902,670","$203,773","$47,462",$0
Bank of America,Bank (Public),NC,"$4,566,857,694","$45,000,000,000","$45,000,000,000","$2,729,305,555","$1,561,552,139","$276,000,000"
Bank of America subsidiaries (incl. Countrywide),Mortgage Servicer,CA,"-$2,311,102,036","$2,311,102,036",$0,$0,$0,$0
Bank of Camden,Mortgage Servicer,TN,$0,$0,$0,$0,$0,$0
Bank of Commerce,Bank (Private),NC,"$87,573","$3,000,000","$2,477,000","$510,473","$100,100",$0
Bank of Commerce Holdings,Bank (Public),CA,"$2,564,028","$17,000,000","$17,000,000","$2,439,028","$125,000",$0
Bank of George,Bank (Private),NV,"-$1,388,060","$2,672,000","$955,240","$279,991","$48,709",$0
Bank of Marin Bancorp,Bank (Public),CA,"$2,155,095","$28,000,000","$28,000,000","$451,111","$1,703,984",$0
Bank of New York Mellon,Bank (Public),NY,"$231,416,666","$3,000,000,000","$3,000,000,000","$95,416,666","$136,000,000",$0
Bank of North Carolina,Bank (Public),NC,"$3,880,665","$31,260,000","$28,365,685","$5,835,060","$939,920",$0
"BANK OF SOUTHERN CALIFORNIA, N.A. (FIRST BUSINESS BANK, N.A.)",Bank (Private),CA,"$450,275","$4,243,000","$3,850,150","$752,663","$90,462",$0
Bank of the Carolinas Corporation,Bank (Public),NC,"-$8,844,573","$13,179,000","$3,294,750","$1,039,677",$0,$0
Bank of the Ozarks,Bank (Public),AR,"$6,004,166","$75,000,000","$75,000,000","$3,354,166","$2,650,000",$0
"BankUnited, N.A.",Mortgage Servicer,FL,"-$71,949,933","$71,949,933",$0,$0,$0,$0
Banner Bank,Mortgage Servicer,WA,"-$13,000","$13,000",$0,$0,$0,$0
Banner Corp,Bank (Public),WA,"$5,079,862","$124,000,000","$108,071,915","$20,873,746","$134,201",$0
Banner County Bank Corp,Bank (Private),NE,"$147,412","$795,000","$795,000","$107,412","$40,000",$0
Bar Harbor Bankshares,Bank (Public),ME,"$1,286,514","$18,751,000","$18,751,000","$1,036,514","$250,000",$0
BB&T,Bank (Public),NC,"$159,713,918","$3,133,640,000","$3,133,640,000","$92,703,516","$67,010,402",$0
BCB Holding Company,Bank (Private),AL,"$609,854","$1,706,000","$1,706,000","$524,854","$85,000",$0
BCSB Bancorp,Bank (Public),MD,"$2,571,500","$10,800,000","$10,800,000","$1,129,500","$1,442,000",$0
Beach Business Bank,Bank (Private),CA,"$1,263,316","$6,000,000","$6,000,000","$963,316","$300,000",$0
Berkshire Bancorp,Bank (Private),PA,"$509,124","$2,892,000","$2,892,000","$364,124","$145,000",$0
Berkshire Hills Bancorp,Bank (Public),MA,"$1,961,130","$40,000,000","$40,000,000","$921,130","$1,040,000",$0
Bern Bancshares,Bank (Private),KS,"$187,064","$985,000","$985,000","$137,064","$50,000",$0
Bethex Federal Credit Union,Bank (Community Development),NY,"$51,567","$502,000","$502,000","$51,567",$0,$0
Birmingham Bloomfield Bancshares,Bank (Private),MI,"$424,024","$3,379,000","$3,379,000","$342,024","$82,000",$0
"Biscayne Bancshares, Inc.",Bank (Private),FL,"$1,871,974","$6,400,000","$6,170,630","$1,896,837","$204,507",$0
Blackhawk Bancorp,Bank (Private),WI,"$1,344,361","$10,000,000","$9,009,000","$1,865,111","$470,250",$0
