SAGDP9N Real GDP by state 1/
SAGDP9N Real GDP by state 1/
State or DC
GeoFips,GeoName,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
00000,United States,4.5,4.8,4.1,1.0,1.7,2.8,3.9,3.5,2.8,2.0,0.1,2.6,2.7,1.5,2.3,1.8,2.3,2.7,1.7,2.2,2.9,2.3,2.8,5.9
01000,Alabama,3.5,3.6,1.5,0.2,2.3,2.9,7.0,4.4,1.6,0.9,1.1,3.3,2.2,1.6,0.9,1.1,0.8,0.8,1.5,1.4,1.7,1.5,1.7,5.1
02000,Alaska,2.6,1.2,2.9,3.9,4.9,1.5,4.0,3.6,7.7,5.1,0.9,9.7,2.9,1.2,5.4,5.0,2.1,1.0,0.9,0.1,1.8,0.2,5.1,0.3
04000,Arizona,8.7,8.5,4.9,2.3,3.5,6.1,4.4,7.4,4.5,3.3,0.9,8.3,1.1,2.2,2.0,0.8,1.3,2.0,3.1,4.2,3.7,3.4,0.5,6.3
05000,Arkansas,2.4,5.4,0.8,0.1,3.5,4.3,4.9,4.2,2.3,0.8,1.0,3.3,2.6,2.1,0.5,2.1,0.9,0.6,0.4,0.9,1.8,1.1,0.1,5.2
06000,California,6.6,7.2,7.7,0.2,1.8,3.9,3.4,4.1,3.9,1.9,1.0,3.2,2.0,1.4,2.4,3.1,3.5,4.5,3.0,4.5,4.2,3.2,2.3,7.8
08000,Colorado,9.0,7.3,7.6,1.5,0.2,1.0,1.2,4.5,2.3,3.7,1.5,2.2,1.1,1.4,1.9,3.4,4.3,4.6,2.1,3.4,3.9,4.6,1.4,5.8
09000,Connecticut,3.1,3.0,6.8,0.9,0.7,1.2,6.5,2.2,4.1,3.9,0.1,5.0,0.2,2.4,1.0,2.0,0.1,2.9,0.2,1.5,0.8,1.0,6.5,4.8
10000,Delaware,9.7,7.5,4.3,3.2,3.1,1.4,4.8,1.2,2.2,0.2,3.0,4.9,1.5,3.9,0.9,3.4,7.8,2.9,5.7,4.2,1.8,4.4,2.9,3.4
11000,District of Columbia,1.7,4.4,0.7,3.6,3.1,2.0,4.9,2.1,0.3,2.9,3.9,0.8,3.9,1.5,0.5,0.2,2.0,2.0,2.4,0.9,2.4,0.7,1.7,3.7
12000,Florida,5.0,4.6,4.5,2.8,4.4,4.7,6.5,6.1,3.0,1.2,4.0,5.8,0.8,0.4,0.8,2.1,2.8,4.3,3.4,3.5,3.2,2.6,1.6,8.4
13000,Georgia,7.4,7.0,3.3,1.2,1.3,3.1,4.1,4.3,1.3,0.6,2.2,3.8,1.2,1.8,1.4,1.6,3.3,4.1,3.6,3.4,2.8,3.5,3.5,7.0
15000,Hawaii,2.5,0.8,1.9,0.4,2.4,5.2,5.6,6.0,2.4,1.9,0.5,3.6,2.5,1.5,1.8,1.6,0.6,3.2,1.9,2.1,1.1,0.8,11.5,6.3
16000,Idaho,4.9,9.6,11.3,2.6,2.1,3.3,6.6,8.2,2.8,1.8,2.8,4.9,1.7,0.1,0.2,4.0,3.0,1.0,3.8,2.2,5.9,4.7,1.3,6.6
17000,Illinois,3.3,3.8,3.7,0.2,0.8,1.7,2.8,1.6,2.5,1.1,0.8,2.6,1.5,1.9,2.1,0.0,2.1,1.4,0.3,0.5,2.5,0.6,5.4,6.2
18000,Indiana,6.0,3.4,3.9,1.8,2.3,4.4,3.8,0.9,2.0,2.7,1.0,7.1,6.4,0.5,0.5,2.3,3.1,1.0,1.9,1.7,3.5,0.5,3.1,5.8
19000,Iowa,0.7,2.1,4.6,1.2,2.4,4.6,8.5,3.3,1.4,4.3,1.9,2.5,2.7,1.5,4.0,0.0,5.1,2.7,0.4,0.3,1.6,0.1,1.6,5.1
