SAEMP25N Total full-time and part-time employment by NAICS industry 1/
SAEMP25N Total full-time and part-time employment by NAICS industry 1/
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00000,United States,22142000,22441000,22937000,23151000,23575000,23675000,23717000,23822000,23987000,24230000,24589000,24682000,24672000,24290000,24104000,24055000,24055000,24149000,24363000,24493000,24539000,24731000,24132000,24048000
01000,Alabama,384900,386201,385790,386379,390081,393288,399138,400004,404433,409831,410482,411059,412843,407691,403175,400558,400138,399101,401927,404376,406649,410163,406756,407027
02000,Alaska,95708,95006,96681,97328,100494,100679,100632,101341,104301,104498,105702,107867,108184,108854,108939,107050,104924,104800,103517,103076,102734,102500,100890,101833
04000,Arizona,364284,373345,388749,397182,411541,420440,425528,432205,437382,449757,459069,452625,448983,441852,443160,444401,444687,443683,444065,449406,451612,460176,452183,446242
05000,Arkansas,201214,203612,206308,209376,210981,214554,217648,222916,228538,229791,232735,236075,236864,234647,235562,233916,232410,231375,229350,226832,226402,225142,222087,220679
06000,California,2409012,2478955,2559207,2614156,2689039,2678533,2651754,2650267,2672146,2715788,2757294,2729549,2678172,2616562,2591627,2600990,2639972,2694463,2763547,2796251,2801674,2829134,2734943,2724695
08000,Colorado,369232,374982,384625,390666,404270,406011,405700,412917,416820,423401,437293,447395,454624,455440,456874,465336,470600,477584,484894,493488,500573,512519,507699,509102
09000,Connecticut,245855,251543,258465,264744,267558,264386,265266,267612,267979,268360,272525,269162,265480,261009,261713,261684,261098,260248,259216,255880,251261,249685,237751,237892
10000,Delaware,64054,64536,66226,66884,67482,67660,67440,68303,69569,70490,71684,71622,72937,72794,73789,74145,74174,73336,73816,73714,74126,75176,74462,75572
11000,District of Columbia,248892,245293,240743,245158,254291,251942,250129,248773,246749,243505,245148,251598,262360,261214,256416,253013,251780,248489,252099,251139,248827,248185,250492,252158
12000,Florida,1056877,1065230,1092780,1112103,1131490,1152724,1162191,1178519,1196121,1210809,1220768,1205144,1203503,1181729,1165645,1163374,1158095,1165279,1185570,1201639,1201863,1214767,1200814,1195005
13000,Georgia,679423,680115,694887,707237,726891,736596,745020,755903,770975,788005,808883,801234,796954,783503,777928,770681,764698,766566,772025,778596,781440,788027,777686,770780
15000,Hawaii,166165,164522,165996,167415,170745,171729,173507,172490,174838,176341,180395,181205,182058,182093,183090,182779,182928,185434,185287,183786,178524,176606,171578,172227
16000,Idaho,111146,114448,117827,119110,121490,123355,124726,125023,125599,126959,128741,128822,128576,126820,126528,126681,127521,129377,131515,133608,135473,137194,133816,134873
17000,Illinois,870587,882096,894750,900348,911966,902974,896605,893577,895150,897461,908370,914354,907358,891199,881730,877277,874953,876125,878114,878718,870234,874341,835562,835890
18000,Indiana,417720,422486,431489,430570,435053,441482,440914,440943,443938,450950,460485,461745,458179,451393,446858,443021,443316,443650,445790,446572,450647,451313,437143,433544
19000,Iowa,248650,250930,256256,256745,257482,258400,260026,259867,261801,263411,266157,270022,268724,268201,267464,267218,268079,268198,269100,270888,270657,273496,264134,267731
20000,Kansas,271190,275922,278923,282293,281427,282459,283877,282798,288372,294413,298580,300422,303875,299952,298068,297689,296956,295799,291536,295008,297466,301434,292919,294069
21000,Kentucky,329145,334717,345937,347777,347130,347797,348696,353675,360275,365337,369380,373755,382369,380579,371362,367404,362546,357675,353640,353217,354979,353058,342293,340250
22000,Louisiana,407206,410626,413885,407776,414367,416601,416822,406954,382664,389138,401014,406392,409089,397623,387671,378079,367094,363344,360552,356552,357622,360599,351269,344784
23000,Maine,103628,105020,107716,109386,111041,112218,112397,111875,112572,112826,112924,111600,110833,108732,108134,106983,106669,106105,107330,106946,106507,106930,104453,104698
24000,Maryland,508791,510715,516333,519140,534380,534350,527304,529985,537178,542159,551349,557298,563921,567579,569421,568503,566873,566694,569473,571930,571605,570950,561693,566322
25000,Massachusetts,439938,447336,454620,457941,457597,446307,436240,437671,442477,448516,453405,452180,454514,450773,453220,455736,461435,460554,463891,463208,465810,467321,453489,453829
26000,Michigan,665419,674315,698253,698768,702116,698498,693302,689315,679338,674030,663739,659784,651471,631332,619786,610851,606447,604779,610071,611397,615001,618169,589880,586366
27000,Minnesota,395453,399807,406664,408186,410268,408190,408800,415588,419701,419347,419970,418311,420942,415194,416830,417580,419357,421349,422403,426632,427478,431343,411827,410149
28000,Mississippi,264815,268555,273621,274785,278522,281410,282012,276700,275364,279390,283796,284665,282093,279423,279452,276791,275929,274057,274828,274803,271763,272924,267478,264119
29000,Missouri,446371,457307,469735,470295,472718,475313,475294,475647,479696,485942,493970,499477,491122,481148,476421,475857,473013,470967,470684,472565,472035,474003,460761,455766
30000,Montana,88226,88785,89076,90149,89914,92524,93417,92868,92745,93539,94172,96010,97106,96035,95159,95109,95387,95526,96173,96094,95346,96549,95313,95814
31000,Nebraska,161205,160532,162573,163938,168231,169700,170721,170801,172357,171679,173313,176171,177142,174466,173487,173310,174077,174778,175729,175641,175730,176173,172178,173208
32000,Nevada,123431,126843,130538,135522,141618,146228,150771,155922,161898,168889,173449,171257,169089,166539,165321,166659,166354,168465,171466,177329,178146,181452,177317,177141
33000,New Hampshire,81162,82863,86666,88043,91214,93338,91856,91901,93593,94681,95642,96231,97724,95312,94924,94690,95095,94847,94299,94103,94216,94423,90305,89924
34000,New Jersey,586743,591484,604010,612453,625268,635883,648619,655768,656351,656869,659348,659795,648423,624546,618008,618536,617005,613182,610432,611642,612245,615550,589022,586099
35000,New Mexico,198545,198660,202324,205141,209706,213607,217542,218716,214268,209863,213254,216121,217436,213815,211911,210855,209659,208780,208462,206149,206182,207853,201787,198803
36000,New York,1440779,1457847,1483805,1484202,1510980,1507986,1500743,1507697,1505688,1521179,1539522,1539965,1531488,1488845,1468153,1458045,1453708,1453082,1459922,1463058,1502864,1510226,1462919,1440598
37000,North Carolina,716402,726555,739595,745926,763093,775530,790013,799292,804905,824029,848979,859300,867372,862931,861387,859358,852170,851910,851951,855791,856408,863926,850496,839490
38000,North Dakota,76355,75912,76733,77201,79262,80385,80948,80714,81604,81197,80499,83004,84779,84177,85574,86124,85883,87674,88929,88502,88424,89054,87635,89510
39000,Ohio,803115,806920,822838,834415,843434,843985,842944,835152,833101,836121,834654,828633,825035,807556,799291,795338,794561,795882,802729,807447,807904,811321,784707,779005
40000,Oklahoma,320384,323626,330433,334764,339900,334997,341264,348585,358032,362681,368714,379290,380547,372080,368099,370614,369415,371494,371188,370045,367810,375572,368414,365240
41000,Oregon,262884,268570,277844,278103,271530,268263,271918,274661,276670,278184,283983,286816,287940,283706,279423,275483,277647,282711,287113,290024,292865,296392,286189,287968
42000,Pennsylvania,761856,766555,785276,792387,808587,816521,815228,814171,814768,810802,816952,822194,824153,805536,787665,789108,781602,775226,773864,773831,768609,771860,756354,748087
44000,Rhode Island,75014,75072,76392,76825,77560,77867,76909,75701,75169,75406,74660,73381,73103,72262,71439,71731,71869,72073,73247,73052,73289,75430,73298,73496
45000,South Carolina,363869,372981,382938,377800,379449,379577,376537,381425,387058,390957,400819,402222,398149,392007,395530,399333,400464,406036,406769,409022,407022,414339,407363,402424
46000,South Dakota,75990,76812,77967,79005,79618,80218,80736,80283,80364,80470,81972,84357,85769,85082,84025,84072,84365,84136,84908,86151,86339,86907,85312,86695
47000,Tennessee,403950,410530,420671,423635,432469,434066,438545,437497,442340,446886,454379,452467,457589,454539,449882,448062,445595,442627,445560,447811,451816,456197,450757,448490
48000,Texas,1658460,1683490,1719816,1734567,1781252,1802756,1806232,1826388,1860685,1883777,1936581,1989874,2019545,1990983,1970006,1975110,1984765,2010382,2041892,2064619,2071801,2097051,2085449,2088214
49000,Utah,193817,197384,203717,207063,212710,214455,217423,220197,222746,225412,228518,231525,234439,239416,241352,241029,242513,244336,250161,256681,261031,267225,266289,270834
50000,Vermont,49311,50731,52754,53081,54019,54572,55044,55510,55997,56258,56801,57125,57417,57259,57668,57811,58266,58122,58222,57709,57573,57642,55049,54736
51000,Virginia,776741,787144,807139,808338,822668,825504,836468,842187,851556,858601,872515,873191,874287,870469,872116,869455,869468,873423,890824,890067,872773,876766,854709,857117
53000,Washington,541621,550936,563087,570338,586676,591313,594612,601075,604716,609840,626542,630725,632441,625449,620619,619230,620905,628818,642820,652643,653368,658854,643056,643367
