SAEMP25N Total full-time and part-time employment by NAICS industry 1/
SAEMP25N Total full-time and part-time employment by NAICS industry 1/
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00000,United States,17246000,17591000,17977000,18351000,18662000,18744000,18840000,19008000,19164000,19407000,19693000,19706000,19537000,19292000,19173000,19197000,19288000,19382000,19538000,19651000,19792000,19948000,19237000,19182000
01000,Alabama,289683,294003,294715,298422,301665,306275,308499,311622,315693,321595,325818,323841,321608,317412,315988,315311,316507,316100,318913,322249,324739,327345,322220,322924
02000,Alaska,55977,56315,57364,58942,60851,60812,59598,60232,61187,61135,62086,63035,63594,63903,64571,64087,63835,63747,63178,62419,62053,61708,58891,59518
04000,Arizona,287535,294996,307501,317116,329292,335099,339924,346227,352051,363603,370779,361358,354080,350554,353302,355477,357941,357644,357697,360366,362069,368626,357494,353296
05000,Arkansas,161341,164270,165393,169898,171187,174305,178085,181106,186770,188269,192706,195252,195847,195617,196719,194756,194188,193731,192172,191213,191265,189861,185850,184883
06000,California,1911107,1991804,2067485,2142608,2204606,2186412,2167481,2176294,2203244,2251539,2285434,2251518,2185287,2142056,2123742,2140532,2188454,2244379,2295875,2330320,2358975,2385816,2276714,2272842
08000,Colorado,272815,280158,287967,296935,308202,309473,310026,316063,321829,327813,338968,344254,344286,344957,348107,357728,363943,371100,380080,387563,394464,404460,396682,397765
09000,Connecticut,206790,213265,218569,227391,229522,227375,229366,232850,233176,234443,238922,235371,231066,228451,229458,229673,229870,228936,226591,223376,220895,219631,206529,206716
10000,Delaware,49708,50248,51711,52438,52723,52916,52999,54465,56152,56682,57617,57367,58107,58189,59186,59453,59710,58969,59548,59407,59818,60693,59449,60711
11000,District of Columbia,41971,40130,37600,38972,38325,36873,36045,35499,35165,35334,35601,35950,36396,35218,36799,37121,38861,40033,40365,41115,42236,42660,42863,42696
12000,Florida,826903,843391,865501,888319,899437,916964,930269,948003,965164,981117,989892,973100,961976,949775,934665,932784,931023,937329,947502,958273,963840,973006,949426,941120
13000,Georgia,491790,494337,503961,517779,533864,544134,554659,566699,580851,595310,608961,596824,585674,577583,576146,572077,570732,573102,579546,583880,587994,589708,573957,566944
15000,Hawaii,81223,81668,83328,84472,87075,87214,88164,88140,88653,90053,92094,92167,90946,90083,90684,91500,92663,94271,93862,93444,92789,91543,85655,85696
16000,Idaho,88670,92110,94901,96566,98135,99931,101302,102299,102913,104057,105366,105125,104967,104540,104282,104720,105898,107694,109683,111675,113289,114750,110778,112353
17000,Illinois,717110,728976,737475,752244,764542,758761,756656,757351,759979,762058,772475,778743,767577,760669,754649,752710,753479,754239,751088,749219,745342,749536,706117,706943
18000,Indiana,357238,361649,365979,371028,376332,382193,383498,383932,386645,393244,400626,400215,393725,390711,387655,384519,385807,385742,387097,387862,392142,392383,376632,374847
19000,Iowa,214663,217215,221282,223873,224145,225142,227453,228040,230383,232353,234906,238586,236494,237151,236928,237093,238011,238232,239024,241624,241749,244316,234453,238110
20000,Kansas,216076,221071,222760,228197,226639,227352,229391,229130,231395,236556,240148,239670,238278,234926,234050,235915,236221,235441,233217,237538,240098,243299,233892,235620
21000,Kentucky,245173,250863,258250,262572,262310,263924,265492,267844,272854,277347,277641,279589,282522,280950,276756,275954,275163,272653,271949,271356,274321,272221,259815,257193
22000,Louisiana,330181,333353,335903,331563,337226,339064,340834,333620,313975,321356,332604,337886,334479,325370,316909,307738,298584,295247,292892,291943,293194,295821,285530,280267
23000,Maine,79884,81260,83147,85830,87221,87739,88161,88406,88937,89621,89178,88301,87593,86672,86340,85680,85665,84691,85288,85234,85502,85905,82632,83190
24000,Maryland,303799,306888,310714,318078,324342,324805,321261,325474,332835,339148,345888,347549,345499,343335,343925,344760,345945,343794,342073,342306,348566,347346,334124,334896
25000,Massachusetts,361010,368527,374369,382306,381485,371652,364215,367636,372779,379178,384247,382785,382918,381504,385223,389171,395839,394772,397942,397278,400712,402068,387106,389006
26000,Michigan,587460,596311,616862,622127,623901,619597,615729,613720,604008,599328,589617,584464,573251,557482,547067,540061,536713,534570,539389,540838,544786,547848,517706,515355
27000,Minnesota,342199,347166,351031,355223,356792,353205,353839,358423,363171,362111,365216,363842,365341,362021,364479,366029,368194,370012,370844,374324,375683,379081,358651,358123
28000,Mississippi,203496,207962,211301,214329,217456,219720,222038,219736,218918,223121,225916,226829,223542,222697,223282,222007,222413,221512,220849,219721,217768,218131,212409,210719
29000,Missouri,349560,357712,368852,374295,374865,377877,378195,381452,384250,387482,393235,395999,389747,382783,380924,380618,380472,377933,377615,378477,378287,378503,362613,359998
30000,Montana,67124,67727,67446,68735,67700,69989,71087,71108,70979,71958,72334,73829,74154,73974,73281,73733,74255,74430,74948,75081,74397,75444,73806,74629
31000,Nebraska,129520,129920,131480,133543,137062,138188,139337,140435,142180,142222,143342,145855,146354,144499,143650,143978,144739,145416,146224,145998,146265,146614,142121,143570
32000,Nevada,97990,101245,103830,108811,112946,115865,120158,125061,130787,137117,140264,137420,133344,130947,128778,129664,130092,132463,135264,139440,140052,142134,136413,135418
33000,New Hampshire,68640,70676,74054,75825,78831,80868,79668,79985,81700,82932,83556,83894,84973,83234,82877,82619,83075,82699,82114,81834,81934,81950,77654,77413
34000,New Jersey,490916,495890,507254,519959,534244,545693,559378,569441,570663,570636,574371,574421,562443,544931,541561,543707,543092,539080,536393,537018,538567,541169,512714,511237
35000,New Mexico,150303,151932,155018,159500,162528,166360,170312,172374,167963,164417,168229,168909,166572,163158,162102,162105,162399,162466,161993,159465,159711,160795,153596,151144
36000,New York,1243916,1262270,1280703,1292299,1315873,1315539,1313995,1322660,1321172,1337132,1352499,1352785,1338425,1306596,1289301,1282456,1281036,1280922,1287533,1290197,1332635,1339892,1287402,1270840
37000,North Carolina,535999,547434,557294,568682,579823,588038,603589,611204,615315,630627,646127,649010,650375,649714,651449,653265,651186,652650,655339,658391,659573,664945,649715,639358
38000,North Dakota,54287,54499,54810,55261,56841,57667,58344,58819,59897,60048,59463,61879,62924,62895,64358,65032,65208,66904,68080,67409,67260,67769,65886,67833
39000,Ohio,683409,687933,699412,716846,723874,725668,726499,721478,720434,724360,720935,713102,704391,690955,684773,682499,683021,684055,690301,693163,693240,695585,667240,663933
40000,Oklahoma,234200,237825,241837,248643,252849,248605,255312,265874,273744,278849,284983,294772,290467,284959,283407,287767,289254,291162,289862,287072,284389,290481,281852,278914
