SAEMP25N Total full-time and part-time employment by NAICS industry 1/
SAEMP25N Total full-time and part-time employment by NAICS industry 1/
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00000,United States,133210200,135940300,139316800,139308200,138616100,139408500,142403700,145860400,149302600,152648700,151995900,146330700,145593700,149162700,152252700,155625100,159535800,163525800,166418900,169279100,173136200,174316200,168578600,174506600
01000,Alabama,1916323,1933639,1949171,1933628,1923729,1928729,1977717,2039537,2094117,2143494,2122530,2017865,1998884,2042007,2054963,2076360,2108848,2143819,2173317,2200024,2242795,2261506,2223316,2290443
02000,Alaska,285610,285404,292267,296462,300949,304210,312503,319332,326276,334555,336903,333487,334589,340277,349217,352983,355175,355608,352346,350892,350498,350834,328522,337908
04000,Arizona,2231178,2302999,2393104,2409504,2416280,2474153,2593386,2764225,2914967,2986999,2916467,2747465,2703979,2767486,2820792,2894121,2972559,3072076,3167309,3260456,3372187,3440010,3437543,3580381
05000,Arkansas,1179052,1192573,1212302,1210393,1208973,1209912,1232306,1260955,1285390,1298858,1290925,1251853,1249280,1273610,1279945,1283523,1303475,1326918,1345414,1360204,1379260,1382536,1363263,1401177
06000,California,15688284,16012613,16343004,16437387,16351697,16489519,16855025,17232240,17610151,17937222,17674155,16880961,16731726,17141365,17853207,18488874,19115053,19752129,20178581,20522491,21041420,21160049,20189055,20952239
08000,Colorado,2319033,2389605,2488373,2504322,2467866,2456704,2509342,2581120,2650681,2749467,2768610,2672770,2643912,2703919,2761964,2846039,2951609,3051034,3135047,3216987,3309003,3334647,3265213,3388729
09000,Connecticut,1781320,1808925,1849911,1850276,1839946,1837774,1870167,1895723,1926050,1968913,1974509,1917977,1897279,1935385,1951542,1974122,1994327,2017228,2031903,2034648,2053646,2038769,1970346,2035164
10000,Delaware,408368,422436,432980,431810,429349,433060,447409,457207,464402,471247,470181,451040,446330,454505,456717,467015,478620,491914,500831,507277,519437,524327,514502,530457
11000,District of Columbia,449542,466185,494561,496635,503124,502660,513341,521023,530776,544905,549764,544314,546777,565547,577997,595213,608889,624743,640667,651673,665382,667004,615386,617324
12000,Florida,7168201,7418430,7690260,7730892,7832323,8035729,8393737,8808238,9106640,9233799,8964592,8557045,8519505,8771655,8997010,9292548,9691505,10120727,10417493,10816776,11276038,11468343,11438463,11954288
13000,Georgia,3857999,3980984,4098580,4098709,4070648,4098979,4218062,4378090,4530156,4646898,4585676,4391429,4363565,4490609,4555037,4675350,4854576,5014623,5146366,5288967,5454368,5557621,5492867,5714128
15000,Hawaii,559509,561297,570604,572819,574998,589992,612160,636103,656271,675795,666346,637404,630892,640615,654331,673482,686651,703062,717351,725326,733316,726774,635745,667002
16000,Idaho,581064,593477,617149,623664,628595,638119,661626,698311,736505,765555,754487,714365,702848,712334,717816,737531,757909,780319,805127,830631,864401,884770,903493,951287
17000,Illinois,6169972,6236480,6362153,6312335,6223188,6207277,6271452,6362880,6475796,6599554,6565620,6312288,6263502,6405567,6475615,6551098,6664575,6796249,6851488,6870956,6936318,6913592,6610032,6773951
18000,Indiana,3045771,3094397,3137026,3080989,3049946,3045141,3089041,3130272,3166220,3205009,3160926,2998138,2999962,3074720,3130545,3177255,3234428,3291494,3340618,3393994,3448951,3458197,3345591,3457587
19000,Iowa,1515477,1536090,1549147,1538705,1525856,1523268,1552550,1582838,1616374,1640592,1639997,1600268,1590711,1616904,1637873,1660388,1683993,1700977,1708060,1704256,1718432,1709038,1658052,1692511
20000,Kansas,1372080,1384212,1403912,1407131,1394118,1382719,1399413,1416023,1442225,1484303,1495669,1449964,1434116,1453331,1479572,1508626,1534595,1550739,1560776,1556565,1564916,1559805,1522178,1552681
21000,Kentucky,1783116,1816827,1848633,1825821,1815595,1824019,1854978,1892896,1925162,1960272,1945651,1866674,1859379,1902834,1934068,1957278,1993640,2030051,2062194,2082479,2107365,2114532,2047435,2125661
22000,Louisiana,1888666,1901624,1934658,1952275,1950935,1971318,1987021,1960431,2000012,2079207,2117277,2089961,2094119,2134775,2182464,2233619,2287792,2300576,2299231,2303243,2335145,2326721,2210209,2261233
23000,Maine,634437,647460,665795,667290,668637,671478,685283,687763,695766,705334,700338,678739,670309,675067,677687,684963,692669,699098,708432,716671,726738,724994,698369,727194
24000,Maryland,2409200,2478934,2556816,2582084,2604071,2640326,2704315,2764990,2825543,2882477,2864124,2787083,2765950,2811725,2852392,2908592,2953505,3019070,3070946,3105407,3161704,3155142,3042342,3130098
25000,Massachusetts,3445605,3504625,3604990,3607314,3553398,3535172,3582886,3624299,3659048,3744339,3751887,3653604,3650838,3714000,3789178,3886146,3974652,4159329,4234885,4304505,4378427,4395236,4136619,4297100
26000,Michigan,4645236,4736066,4849596,4754342,4694393,4673696,4704698,4734983,4713053,4712976,4608654,4322035,4323483,4464001,4548781,4645048,4738134,4827503,4898552,4958169,5036365,5031329,4737097,4932619
27000,Minnesota,2693541,2755327,2823597,2837697,2835213,2848320,2894463,2945529,2992679,3037251,3025332,2920265,2902469,2971817,3006894,3058317,3107183,3161792,3198902,3234503,3274665,3273956,3118783,3206905
28000,Mississippi,1126504,1146124,1147578,1127966,1128137,1126100,1136899,1152652,1187621,1215226,1210323,1163566,1164931,1188069,1199679,1216746,1237011,1253380,1267250,1277555,1291919,1297728,1268110,1305742
29000,Missouri,2811701,2841343,2877014,2859017,2848255,2858048,2896399,2951012,3002837,3046091,3027299,2920599,2881842,2924212,2952355,2990566,3027657,3086502,3131610,3168879,3210281,3209962,3135757,3222382
30000,Montana,415456,422353,430809,437371,442624,448211,462329,478625,495746,513207,512911,494476,490410,497787,508181,516656,523781,534707,541319,547848,559055,560031,559552,584573
31000,Nebraska,909057,927553,944741,947873,940755,944155,956159,969323,985353,1009387,1014146,995379,988447,1002560,1023849,1039007,1055355,1071530,1080851,1088130,1099617,1099704,1080865,1103419
32000,Nevada,1002527,1056979,1118533,1144477,1153110,1201788,1285444,1372868,1437683,1470255,1440612,1336618,1303611,1329932,1348219,1388877,1436596,1490755,1547989,1597865,1665664,1697699,1588435,1693540
33000,New Hampshire,657419,673209,692161,695243,692225,699318,716337,729122,737593,748254,744061,719441,710810,718207,723916,734560,743707,760137,773318,783175,793148,790516,763087,793526
34000,New Jersey,3897530,3962188,4125661,4145761,4147611,4171772,4244088,4318829,4384151,4456555,4448888,4317060,4296393,4378282,4418302,4497403,4571942,4672108,4760985,4817835,4920116,4938904,4714902,4933816
35000,New Mexico,715666,721518,740685,746987,753811,766557,786842,808203,842035,867676,867481,830703,816910,823130,827038,835402,845767,854472,854231,860327,875757,880991,839465,860781
36000,New York,8400624,8646106,8880013,8894174,8778344,8811540,8959697,9094835,9255148,9511711,9606505,9393528,9423799,9753117,9913194,10106347,10357677,10592103,10747156,10875573,11100173,11184005,10358132,10694292
37000,North Carolina,3904052,3988441,4067387,4026669,4001287,4003195,4103222,4229920,4383333,4540682,4499658,4292955,4247702,4364217,4432875,4512830,4650758,4775212,4906422,4999462,5136289,5218374,5140971,5370383
38000,North Dakota,320354,322065,327023,330948,330134,332797,341043,349577,359308,369310,379254,378170,387382,413286,448759,467719,488595,480189,459109,455956,461450,463614,442739,447439
39000,Ohio,5696799,5774371,5865417,5793049,5707518,5688650,5738479,5790278,5831208,5875172,5811687,5546383,5512363,5632878,5719115,5801201,5895034,5977953,6037432,6093047,6170673,6173295,5983870,6147214
40000,Oklahoma,1520754,1532259,1563746,1573104,1553987,1547025,1567144,1605481,1651320,1696309,1727625,1669462,1664107,1703287,1760189,1792945,1820331,1837877,1835588,1842818,1866708,1854828,1815949,1846223
41000,Oregon,1692704,1713481,1748634,1733173,1721063,1740129,1792989,1854292,1912572,1961911,1939307,1834365,1818680,1849880,1877968,1921300,1982252,2049645,2103448,2159645,2208703,2217575,2145096,2201646
42000,Pennsylvania,5814193,5915283,6034449,6039549,5998145,5983970,6063145,6166770,6265394,6378582,6388803,6207573,6222210,6338441,6418912,6485125,6579574,6661117,6741651,6813341,6923629,6932415,6591249,6800694
44000,Rhode Island,478479,490192,504898,506980,509146,514839,524226,528799,534786,541157,532776,513396,511736,517837,519955,529013,539662,553393,558740,564464,574030,574189,541032,564308
45000,South Carolina,1792989,1834318,1864613,1846284,1838611,1855405,1899934,1946729,2003193,2063234,2042767,1935435,1930801,2006350,2029330,2072312,2136688,2201833,2264551,2321257,2408886,2441690,2391096,2475693
46000,South Dakota,376274,386333,396379,394965,395432,397322,405045,414729,426856,439744,446895,440455,440023,448167,456584,463211,471347,476750,481506,483651,492634,492019,488125,503470
47000,Tennessee,2827382,2879061,2932706,2893993,2881846,2904966,2978666,3047980,3117662,3173916,3143376,2994811,2983187,3060209,3113176,3168803,3253325,3341142,3432415,3509846,3592465,3638044,3596151,3725550
