Data Series    Area,GraphClear,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,"View
History"
U.S.,,10.23,10.63,12.11,13.5,13.49,14.21,1973-2022
Alabama,,12.52,13.08,13.56,14.25,14.39,14.71,1989-2022
Alaska,,9.78,9.92,10.41,11.44,11.62,11.27,1989-2022
Arizona,,10.13,10.57,11.07,11.48,11.61,11.69,1989-2022
Arkansas,,11.87,12.25,12.97,13.25,14.15,14.82,1989-2022
California,,15.02,14.39,14.76,17.26,15.66,17.08,1989-2022
Colorado,,9.31,10.51,11.23,12.36,16.31,15.37,1989-2022
Connecticut,,11.04,11.71,14.02,15.47,16.2,17.03,1989-2022
Delaware,,10.71,11.65,13.04,14.7,15.5,15.99,1989-2022
District of Columbia,,14.19,15.93,16.81,19.66,19.19,19.5,1989-2022
Florida,,13.41,13.3,13.5,13.86,NA,NA,1989-2022
Georgia,,10.49,10.67,11.41,12.78,14.17,13.37,1989-2022
Hawaii,,44.83,43.94,50.06,51.66,49.43,44.71,1989-2022
Idaho,,6.52,6.52,6.79,7.26,7.53,7.75,1989-2022
Illinois,,10.35,11.76,16.82,21.91,24.5,24.48,1989-2022
Indiana,,8.77,9.33,10.08,NA,13.25,13.88,1989-2022
Iowa,,13.62,12.19,15.54,15.56,12.16,11.67,1989-2022
Kansas,,11.42,11.35,15.1,17.97,20.64,18,1989-2022
Kentucky,,11.24,11.24,16.36,17.56,19.41,20.75,1989-2022
Louisiana,,10.65,12.19,14.59,15.23,14.65,16.72,1989-2022
Maine,,15.24,15.61,17.29,19.01,19.66,NA,1989-2022
Maryland,,12.35,13.82,15.93,17.91,19.12,20.06,1989-2022
Massachusetts,,15.09,16.12,16.66,16.59,17.4,14.66,1989-2022
Michigan,,9.02,9.58,12.03,13.29,13.27,14.33,1989-2022
Minnesota,,9.63,9.93,13.8,15.9,14.24,16.73,1989-2022
Mississippi,,10.2,12.19,14.48,14.05,13.51,14.37,1989-2022
Missouri,,10.13,10.82,11.96,13.73,14.92,15.08,1989-2022
Montana,,9.17,9.4,10.43,12.21,14.51,14.61,1989-2022
Nebraska,,9.03,8.85,9.89,12.91,14.39,13.73,1989-2022
Nevada,,7.98,9.14,9.55,10.14,10.53,10.82,1989-2022
New Hampshire,,13.13,15.81,18.23,17.51,20.64,23.01,1989-2022
New Jersey,,12.64,11.69,13.61,16.81,14.97,15.27,1989-2022
New Mexico,,8.71,8.77,10.63,13.64,14.37,13.83,1989-2022
New York,,9.64,9.5,10,11,10.36,10.73,1989-2022
North Carolina,,12.05,10.68,10.47,15.13,11.47,12.98,1989-2022
North Dakota,,8.3,8.32,9.41,12.3,11.3,14.48,1989-2022
Ohio,,7.33,8.09,10.08,NA,11.05,NA,1989-2022
Oklahoma,,9.93,12.75,14.43,17.87,19.67,23.44,1989-2022
Oregon,,8.98,9.65,10.24,11.01,11.75,11.64,1989-2022
Pennsylvania,,11.17,11.75,12.09,15.34,14.44,16.02,1989-2022
Rhode Island,,14.17,14.32,15.37,18.18,20.2,21.14,1989-2022
South Carolina,,11.82,11.95,12.74,14.85,13.04,13.84,1989-2022
South Dakota,,9.37,8.02,9.94,11.24,11.87,11.13,1989-2022
Tennessee,,10.4,9.73,12.5,14.54,16.5,13.98,1989-2022
Texas,,10.11,11.41,13.03,13.46,13.34,14.93,1989-2022
Utah,,8.48,8.38,7.75,8.04,8.58,9.23,1989-2022
Vermont,,8.05,8.23,9,9.44,8.42,9.57,1989-2022
Virginia,,9.83,10.15,11.78,13.09,13.61,12.37,1989-2022
Washington,,10.01,9.99,10.15,10.31,11.26,11.04,1989-2022
West Virginia,,9.05,9.24,10.48,11.57,11.45,11.74,1989-2022
Wisconsin,,7.37,8.82,10.97,12.32,12.67,13.24,1989-2022
Wyoming,,9.79,10.26,10.63,12.05,14.63,15.56,1989-2022
