	a1_cantPayHou	a2_cantPayHou	a3_cantPayHou	a4_cantPayHou	a5_cantPayHou	a6_cantPayHou	a7_cantPayHou	a8_cantPayHou	a9_cantPayHou	a10_cantPayHou	a1_demandsInterfere	a2_demandsInterfere	a3_demandsInterfere	a4_demandsInterfere	a5_demandsInterfere	a6_demandsInterfere	a7_demandsInterfere	a8_demandsInterfere	a9_demandsInterfere	a10_demandsInterfere	a1_health	a2_health	a3_health	a4_health	a5_health	a6_health	a7_health	a8_health	a9_health	a10_health	a1_lifSts	a2_lifSts	a3_lifSts	a4_lifSts	a5_lifSts	a6_lifSts	a7_lifSts	a8_lifSts	a9_lifSts	a10_lifSts	a1_hap	a2_hap	a3_hap	a4_hap	a5_hap	a6_hap	a7_hap	a8_hap	a9_hap	a10_hap	a1_wrkSchSts	a2_wrkSchSts	a3_wrkSchSts	a4_wrkSchSts	a5_wrkSchSts	a6_wrkSchSts	a7_wrkSchSts	a8_wrkSchSts	a9_wrkSchSts	a10_wrkSchSts	a1_fewMorHrs	a2_fewMorHrs	a3_fewMorHrs	a4_fewMorHrs	a5_fewMorHrs	a6_fewMorHrs	a7_fewMorHrs	a8_fewMorHrs	a9_fewMorHrs	a10_fewMorHrs
Q1.2	0.00353	0.00578*	0.00612	0.00599	0.00603	0.00527	0.00402	0.00555	0.00503	0.01511***	-0.00128	0.00126	0.00993	0.00952	0.01086	0.00900	0.02560	0.01683	0.01357	0.01570	-0.02520***	-0.01815**	-0.02494***	-0.02477***	-0.02461***	-0.00000***	-0.01613	-0.02301***	-0.02420***	-0.03488***	-0.02328	-0.00884	0.00321	0.00230	0.00367	0.02292	0.03692	0.00356	0.00253	0.00108	-0.04181**	-0.02677	-0.01515	-0.01717	-0.01519	0.00774	-0.00323	-0.01611	-0.01877	-0.02253	0.00325	0.02317	0.02719	0.02628	0.02178	0.02979	0.02606	0.00991	0.00611	-0.02041	0.01866***	0.01894***	0.01942***	0.01890***	0.00000***	0.00000***	-0.00000***	0.00000***	0.00000***	0.00000***
age2	-0.00009**	-0.00012***	-0.00011***	-0.00011***	-0.00011***	-0.00010**	-0.00008	-0.00010**	-0.00009**	-0.00020***	-0.00024**	-0.00027***	-0.00033***	-0.00033***	-0.00033***	-0.00030***	-0.00047**	-0.00038***	-0.00034***	-0.00039**	0.00020**	0.00011	0.00023**	0.00022**	0.00022**	0.00000***	0.00013	0.00020**	0.00022**	0.00040***	0.00045*	0.00028	0.00020	0.00019	0.00017	-0.00001	-0.00020	0.00018	0.00020	0.00031	0.00068***	0.00050**	0.00043	0.00043	0.00038	0.00018	0.00024	0.00040	0.00043	0.00060	0.00022	-0.00002	-0.00008	-0.00008	-0.00005	-0.00011	-0.00007	0.00008	0.00013	0.00052	-0.00024***	-0.00024***	-0.00024***	-0.00023***	-0.00000***	-0.00000***	0.00000***	-0.00000**	-0.00000***	-0.00000***
Associate degree (AA, AS)	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
Bachelor’s degree (BA, BS, AB)	-0.04679*	-0.04850*	-0.03259	-0.03564	-0.02497	-0.02557	-0.01497	-0.01456	-0.01191	-0.00015	-0.22248***	-0.23519***	-0.15969**	-0.16673**	-0.13533*	-0.14056*	0.04822	-0.13769*	-0.12813	-0.01110	0.01959	0.02009	-0.02559	-0.02156	-0.01273	-0.00000***	0.16897	-0.01265	-0.01290	0.00511	-0.37139**	-0.35783**	-0.46587***	-0.44833***	-0.46451***	-0.44431***	-0.38401	-0.56774***	-0.57304***	-0.68921***	-0.20979	-0.18374	-0.17066	-0.15113	-0.18528	-0.15455	0.10003	-0.19617	-0.20541	-0.34789	-0.40290***	-0.37808**	-0.43804***	-0.42537***	-0.46858***	-0.45556***	-0.13813	-0.61159***	-0.62246***	-0.74661***	-0.00531	-0.00965	0.00586	0.00387	0.00000	0.00000	-0.00000***	-0.00000***	0.00000	-0.00000
Finished 9th or 10th grade but did not complete High School	0.08121	0.07662	0.07484	0.07591	0.07366	0.06737	0.09515	0.06424	0.06147	0.06316	-0.11449	-0.10755	-0.13987	-0.12973	-0.12399	-0.13467	-0.14315	-0.06040	-0.06551	0.04266	-0.20943	-0.21645	-0.34352**	-0.37690***	-0.37871***	-0.00000**	-0.02238	-0.43059***	-0.43722***	-0.23723	0.04575	0.03476	-0.13970	-0.20458	-0.19801	0.03940	0.31131	-0.40673	-0.38540	-0.22634	0.00009	0.00173	-0.26537	-0.35492	-0.33769	0.05200	-0.07176	-0.54825	-0.53612	-0.06706	-0.82062**	-0.80190**	-0.80926*	-0.85566**	-0.88415**	-0.72363*	0.00408	-1.08343**	-1.13295***	-1.15176**	0.08742	0.08169	0.10322	0.11492	0.00000*	0.00000*	-0.00000***	-0.00000***	0.00000	0.00000
High school graduate – diploma or GED equivalent	0.02741	0.02904	0.02026	0.02082	0.02155	0.01965	0.01494	0.03317	0.03677	0.09205**	-0.16211**	-0.17567**	-0.19071**	-0.18757**	-0.18139**	-0.18059**	-0.02046	-0.13964*	-0.13050	-0.13393	-0.14720**	-0.13747**	-0.16350**	-0.17088**	-0.16806**	-0.00000***	-0.06578	-0.16865**	-0.17004**	-0.11804	-0.29159*	-0.27009	-0.32509*	-0.34060**	-0.33255*	-0.21262	-0.12080	-0.39610**	-0.38348**	-0.50689**	-0.12125	-0.09382	-0.08218	-0.10071	-0.09136	0.06135	-0.24437	-0.18014	-0.18614	-0.19631	-0.46129***	-0.41004**	-0.34419*	-0.35616**	-0.37498**	-0.30534*	-0.02768	-0.43023**	-0.42860**	-0.36864*	0.04621	0.04304	0.06664	0.06917	0.00000	0.00000	-0.00000***	-0.00000***	0.00000	0.00000
Master’s degree (MA, MS, MBA…)	-0.01256	-0.01585	-0.00580	-0.00595	-0.00367	-0.00582	0.04976	0.00926	0.01216	0.07415	0.05233	0.03293	0.05605	0.04767	0.06050	0.04364	0.15685	0.06609	0.07633	0.27187**	0.19627***	0.17666**	0.14540**	0.13844*	0.13940*	-0.00000**	0.62920***	0.13955*	0.13920*	0.27864**	0.06451	0.02753	-0.10393	-0.09862	-0.09833	-0.19451	0.21433	-0.24467	-0.24771	0.12011	0.17324	0.14332	0.13776	0.11565	0.11391	-0.00534	0.65113	0.03146	0.02028	0.25684	-0.00778	-0.02160	0.01129	0.01510	-0.02099	-0.08503	0.08647	-0.27492	-0.28685	0.18601	0.04773	0.04158	0.09099*	0.09264*	0.00000	0.00000	-0.00000**	-0.00000***	0.00000	0.00000
No formal schooling	0.45091***	0.38958***	0.22926**	0.22964**	0.18175	0.18437	0.10232	0.23821*	0.22998*	0.24396	1.16452***	1.11015***	0.79176***	0.79350***	0.61678***	0.61931***	0.63444	0.64084***	0.59816***	0.46139	0.50480***	0.36365*	0.14828	0.15427	0.12357	-0.00000*	0.78353***	0.23944	0.21731	0.19299	-0.01121	-0.24566	-0.37444	-0.38522	-0.31504	-0.38469	-0.01968	-0.19389	-0.21949	-0.41066	0.93086**	0.83069**	0.60397	0.61335	0.75089	0.64612	1.39602*	0.90512*	0.85137	1.33851***	-0.69338	-0.79760	-0.50120	-0.50116	-0.17703	-0.22922	0.83346	-0.03085	-0.15342	0.67411	-0.64597***	-0.57457***	-0.52633**	-0.52947**	0.00000***	0.00000***	-0.00000**	-0.00000***	-0.00000	-0.00000
Ph.D. or Professional degree	0.09605*	0.08757	0.08221	0.07541	0.06813	0.06733	0.17803	0.07586	0.07881	0.08716	0.18792	0.15763	0.10798	0.08096	0.05531	0.05261	0.19350	0.08704	0.10713	0.37063	0.13129	0.12180	0.01904	0.02900	0.02287	-0.00000	0.30455	0.02422	0.02470	0.40842*	-0.65633**	-0.72473**	-0.67099**	-0.68707**	-0.67959**	-0.70374**	-0.58422	-0.66056*	-0.60016*	-0.09921	-0.41656	-0.46651	-0.60950	-0.65417*	-0.63148	-0.66772*	0.59750	-0.59402	-0.57216	0.30198	-0.54920	-0.58245*	-0.59781*	-0.60831*	-0.56549*	-0.58142*	-0.86770	-0.73742**	-0.73644**	-1.18776	-0.01702	-0.03680	-0.04181	-0.05834	0.00000	0.00000	-0.00000***	-0.00000***	-0.00000	0.00000
Some college, no degree	0.03992	0.04261	0.05791**	0.05615**	0.05613**	0.05324*	0.05645	0.06340**	0.06740**	0.10300***	-0.10054	-0.12339	-0.06530	-0.07226	-0.06969	-0.07853	0.02294	-0.03461	-0.02570	0.03731	-0.18417***	-0.17401***	-0.19591***	-0.18582***	-0.18548***	-0.00000***	-0.07279	-0.17422***	-0.17511***	-0.17211**	-0.31610**	-0.28331*	-0.31054*	-0.27631*	-0.27592*	-0.12229	-0.11856	-0.35696**	-0.36454**	-0.52219***	-0.17466	-0.13664	-0.11617	-0.07217	-0.06149	0.14328	0.13847	-0.12572	-0.13807	-0.19147	-0.61492***	-0.56838***	-0.56448***	-0.53787***	-0.56376***	-0.47941***	-0.13495	-0.64368***	-0.63772***	-0.55766***	0.05751	0.05309	0.07009	0.06901	0.00000	0.00000	-0.00000***	-0.00000***	-0.00000	-0.00000
