Data Series    Area,GraphClear,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,"View
History"
U.S.,,12.98,14.01,17.77,22.7,24.61,25.61,1973-2022
Alabama,,15.38,17.21,20.61,24.16,25.11,25.55,1989-2022
Alaska,,10.65,11.08,11.98,14.24,14.26,13.3,1989-2022
Arizona,,15.94,18.42,21.76,24.19,26.25,26.88,1989-2022
Arkansas,,14.37,14.84,19.15,22.32,25.66,26.94,1989-2022
California,,18.39,18.28,19.55,21.71,20.27,21.64,1989-2022
Colorado,,10.18,11.82,13.73,16.1,22.31,22.27,1989-2022
Connecticut,,16.31,17.68,20.86,26.35,28.66,31.71,1989-2022
Delaware,,12.59,13.75,16.63,23.55,27.37,29.66,1989-2022
District of Columbia,,15.34,17.43,20.15,26.35,28.94,31.08,1989-2022
Florida,,23.26,24.56,26.46,29.79,NA,NA,1989-2022
Georgia,,16.21,18.2,26.6,35.76,42.24,34.4,1989-2022
Hawaii,,57.92,55.3,64.54,65.6,63.79,58.45,1989-2022
Idaho,,7.35,7.41,8.01,9.57,10.64,9.79,1989-2022
Illinois,,11.78,12.56,19.14,NA,31.74,31.3,1989-2022
Indiana,,10.81,11.89,14.01,NA,23.69,23.07,1989-2022
Iowa,,15.56,14.25,20.32,23.3,20.67,21.87,1989-2022
Kansas,,13.1,14.29,21.86,31.67,30.6,32.16,1989-2022
Kentucky,,13.63,13.81,23.96,29.09,32.35,34.83,1989-2022
Louisiana,,12.4,17.09,23.12,25.54,25.32,28.19,1989-2022
Maine,,18.45,19.49,23.04,29.94,35.73,38.25,1989-2022
Maryland,,14.7,16.62,20.35,27.53,30.16,30.94,1989-2022
Massachusetts,,19.78,21.65,21.57,23.21,25.64,25.84,1989-2022
Michigan,,10.1,11.31,14.98,16.13,17.16,19.31,1989-2022
Minnesota,,11.06,11.53,16.59,21.28,19.78,22.96,1989-2022
Mississippi,,12.24,15,24.07,25.06,25.38,27.43,1989-2022
Missouri,,12.59,13.47,17.2,24.44,28.05,29.76,1989-2022
Montana,,9.23,9.54,10.57,12.82,15.6,17.3,1989-2022
Nebraska,,10.21,11.22,14.21,21.49,26.36,26.71,1989-2022
Nevada,,10.83,12.85,14.99,15.71,17.47,18.83,1989-2022
New Hampshire,,16.87,19.58,21.37,23.59,27.55,31.44,1989-2022
New Jersey,,11.37,11.57,12.44,14.62,16.4,16.54,1989-2022
New Mexico,,10.04,10.87,15.62,22.01,23.23,23.31,1989-2022
New York,,14.15,14.84,17.61,24.59,26.2,26.17,1989-2022
North Carolina,,19.04,18.01,27.1,27.96,22.75,NA,1989-2022
North Dakota,,8.39,9.25,11.77,20.26,30.43,33.39,1989-2022
Ohio,,10.39,12.1,19.09,33.22,36.4,NA,1989-2022
Oklahoma,,11.49,15.44,21.84,26.7,NA,NA,1989-2022
Oregon,,11.92,11.98,13.4,15.43,18.56,18.98,1989-2022
Pennsylvania,,13.3,13.73,16.16,NA,23.26,26.74,1989-2022
Rhode Island,,16.98,17.5,18.55,21.43,23.31,24.76,1989-2022
South Carolina,,17.12,18.27,27.47,28.86,25.06,27.12,1989-2022
South Dakota,,11.04,9.8,12.43,16.5,18.49,18.3,1989-2022
Tennessee,,11.68,11.37,16.1,NA,26.25,NA,1989-2022
Texas,,13.07,17.42,25.12,27.75,29.67,33.69,1989-2022
Utah,,9.68,9.85,9.44,10.34,11.82,13.07,1989-2022
Vermont,,13.37,14.27,16.12,21.82,24.39,27.47,1989-2022
Virginia,,14.85,NA,20.12,26.89,27.86,28.91,1989-2022
Washington,,12.09,11.87,12.8,15.11,17.8,18.4,1989-2022
West Virginia,,11.12,11.78,15.37,21.13,22.24,23.32,1989-2022
Wisconsin,,8.62,10.05,14.56,19.41,19.08,21.2,1989-2022
Wyoming,,11.11,12.09,13.14,16.59,24.72,28.39,1989-2022
